Gene,Transcript ID,Global Frequency,Present in Transcripts,Sum or Abundance RPKM,Mean,SD
CASP1,ENST00000695719,4,CASP1_ENST00000528424-CASP1_ENST00000525825-CASP1_ENST00000527979-CASP1_ENST00000695719,1.44,60.44,2.31
CLTC,ENST00000579456,1,CLTC_ENST00000579456,0.00,39.00,7.21
ABCC2,ENST00000648324,1,ABCC2_ENST00000648324,1.46,52.89,1.28
PTPN22,ENST00000460620,1,PTPN22_ENST00000460620,0.10,27.04,0.04
LINC02210-CRHR1,ENST00000587305,2,LINC02210-CRHR1_ENST00000587305-LINC02210-CRHR1_ENST00000632599,0.01,47.74,0.36
COL4A5,ENST00000477429,1,COL4A5_ENST00000477429,0.32,37.84,3.00
DDX5,ENST00000678810,5,DDX5_ENST00000585317-DDX5_ENST00000579461-DDX5_ENST00000579996-DDX5_ENST00000582326-DDX5_ENST00000678810,12.42,40.72,5.95
CD46,ENST00000471987,2,CD46_ENST00000471987-CD46_ENST00000695787,2.38,31.85,6.08
REST,ENST00000640168,1,REST_ENST00000640168,0.00,54.00,17.47
IDE,ENST00000679089,1,IDE_ENST00000679089,0.00,44.00,6.63
PSEN1,ENST00000553599,2,PSEN1_ENST00000553599-PSEN1_ENST00000700306,0.00,53.00,11.83
PLA2G6,ENST00000454670,1,PLA2G6_ENST00000454670,1.22,61.77,3.12
PXN,ENST00000540221,1,PXN_ENST00000540221,0.68,58.02,3.90
IL24,ENST00000367093,2,IL24_ENST00000391929-IL24_ENST00000367093,0.00,53.00,4.90
ITGB2,ENST00000479202,1,ITGB2_ENST00000479202,0.00,69.00,7.21
ZAP70,ENST00000708156,2,ZAP70_ENST00000463643-ZAP70_ENST00000708156,0.00,51.51,0.05
HLA-G,ENST00000615789,3,HLA-G_ENST00000491141-HLA-G_ENST00000478108-HLA-G_ENST00000615789,0.00,,Below k-mer threshold: no fitting performed
ERCC5,ENST00000651470,1,ERCC5_ENST00000651470,0.00,54.00,4.32
MS4A1,ENST00000528313,1,MS4A1_ENST00000528313,0.00,43.00,3.74
DNM1L,ENST00000547312,9,DNM1L_ENST00000381000-DNM1L_ENST00000547312-DNM1L_ENST00000551076-DNM1L_ENST00000547719-DNM1L_ENST00000548750-DNM1L_ENST00000703368-DNM1L_ENST00000703370-DNM1L_ENST00000703369-DNM1L_ENST00000703363,2.57,60.87,4.20
MUC4,ENST00000625407,7,MUC4_ENST00000479406-MUC4_ENST00000625407-MUC4_ENST00000627476-MUC4_ENST00000628685-MUC4_ENST00000628289-MUC4_ENST00000625430-MUC4_ENST00000630966,0.00,53.00,4.90
SNAP25,ENST00000693732,1,SNAP25_ENST00000693732,0.00,49.00,6.06
PRMT5,ENST00000627278,2,PRMT5_ENST00000553787-PRMT5_ENST00000627278,0.00,,Not enough GC content data points for fitting
SIRT2,ENST00000634637,2,SIRT2_ENST00000407552-SIRT2_ENST00000634637,0.21,34.70,1.29
PLCG1,ENST00000607954,1,PLCG1_ENST00000607954,0.01,45.04,0.04
EHMT2,ENST00000488695,7,EHMT2_ENST00000478077-EHMT2_ENST00000488695-EHMT2_ENST00000478205-EHMT2_ENST00000477385-EHMT2_ENST00000479426-EHMT2_ENST00000466693-EHMT2_ENST00000494816,11.98,62.95,1.05
DDR1,ENST00000504152,1,DDR1_ENST00000504152,1.94,60.27,5.22
CSF3R,ENST00000373103,1,CSF3R_ENST00000373103,0.00,66.00,3.16
KRT8,ENST00000546900,1,KRT8_ENST00000546900,14.80,76.54,13.15
SFTPB,ENST00000491167,1,SFTPB_ENST00000491167,0.00,57.00,6.06
IKZF1,ENST00000698574,1,IKZF1_ENST00000698574,0.80,36.16,2.38
CTSB,ENST00000678598,2,CTSB_ENST00000710758-CTSB_ENST00000678598,0.00,67.00,6.06
ITGB2,ENST00000397857,1,ITGB2_ENST00000397857,0.17,65.74,0.37
ADAR,ENST00000680305,1,ADAR_ENST00000680305,0.03,50.99,0.04
PRLR,ENST00000618457,1,PRLR_ENST00000618457,11.80,72.89,5.80
C4B,ENST00000468936,16,C4B_ENST00000473927-C4B_ENST00000468936-C4A_ENST00000480401-C4A_ENST00000473768-C4B_ENST00000478151-C4B_ENST00000480076-C4A_ENST00000459921-C4B_ENST00000480097-C4A_ENST00000477131-C4A_ENST00000463034-C4A_ENST00000470477-C4A_ENST00000488531-C4A_ENST00000465724-C4B_ENST00000468829-C4B_ENST00000496065-C4B_ENST00000497033,0.78,57.70,3.08
SLC11A1,ENST00000465984,1,SLC11A1_ENST00000465984,0.00,61.00,6.06
OGT,ENST00000459760,1,OGT_ENST00000459760,0.00,50.00,4.32
KCNQ2,ENST00000370224,3,KCNQ2_ENST00000370224-KCNQ2_ENST00000625514-KCNQ2_ENST00000706989,0.00,57.00,7.21
ATXN3,ENST00000553686,5,ATXN3_ENST00000393287-ATXN3_ENST00000553498-ATXN3_ENST00000553686-ATXN3_ENST00000556671-ATXN3_ENST00000553491,0.00,,Below k-mer threshold: no fitting performed
AKT2,ENST00000581582,1,AKT2_ENST00000581582,2.35,39.17,10.45
RAB7A,ENST00000490093,1,RAB7A_ENST00000490093,0.00,43.00,4.90
PLCE1,ENST00000685889,1,PLCE1_ENST00000685889,5.70,,Fitting failed: Negative mean or mean not greater than standard deviation
MAPK9,ENST00000343111,1,MAPK9_ENST00000343111,0.00,,Not enough GC content data points for fitting
APP,ENST00000358918,1,APP_ENST00000358918,2.64,,Fitting failed: Negative mean or mean not greater than standard deviation
SNCA,ENST00000618500,2,SNCA_ENST00000508895-SNCA_ENST00000618500,0.00,47.00,7.21
STIM1,ENST00000300737,2,STIM1_ENST00000300737-STIM1_ENST00000616714,0.40,,Below k-mer threshold: no fitting performed
SLC12A3,ENST00000566786,2,SLC12A3_ENST00000438926-SLC12A3_ENST00000566786,0.00,66.00,3.16
ARRB1,ENST00000531012,1,ARRB1_ENST00000531012,2.13,45.74,9.55
CD1D,ENST00000368171,1,CD1D_ENST00000368171,0.82,52.91,3.42
MFN2,ENST00000412236,3,MFN2_ENST00000412236-MFN2_ENST00000675530-MFN2_ENST00000674706,0.00,,Not enough GC content data points for fitting
CD59,ENST00000533403,2,CD59_ENST00000643183-CD59_ENST00000533403,0.00,49.23,8.08
LEF1,ENST00000510717,1,LEF1_ENST00000510717,0.00,,Below k-mer threshold: no fitting performed
CAV1,ENST00000451122,1,CAV1_ENST00000451122,0.00,63.00,11.83
CD55,ENST00000635614,1,CD55_ENST00000635614,0.12,52.01,2.83
SMARCB1,ENST00000642275,1,SMARCB1_ENST00000642275,0.00,56.00,3.16
NEDD4L,ENST00000456986,1,NEDD4L_ENST00000456986,0.81,,Below k-mer threshold: no fitting performed
FGFR4,ENST00000507708,1,FGFR4_ENST00000507708,1.24,68.43,1.64
